交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
,142,離開Long,Breakout_LX,44112,0.9166666666666666,11525.25,1,,,,,,,,
72,143,進入Long,BreakOut_LE,44113,0.4583333333333333,11583.5,1,-50,-0.2158242327448526,1250.5,1.2505,32,0.13812750895670567,-45,-0.19424180947036734
,144,離開Long,Breakout_LX,44113,0.625,11563.5,1,,,,,,,,
73,145,進入Long,BreakOut_LE,44113,0.9166666666666666,11616.25,1,882,3.796405896911654,2132.5,2.1325,1156.5,4.9779403852362,-10.5,-0.04519530829656731
,146,離開Long,Breakout_LX,44117,0.375,12062.25,1,,,,,,,,
74,147,進入Long,BreakOut_LE,44118,0.9166666666666666,12133.75,1,-148,-0.6098691665808179,1984.5,1.9845000000000002,32,0.13186360358504173,-143,-0.5892654785206553
,148,離開Long,Breakout_LX,44118,0.9583333333333334,12064.75,1,,,,,,,,
75,149,進入Long,BreakOut_LE,44120,0.7083333333333334,11898.75,1,-56.5,-0.23741989704800925,1928,1.928,241,1.0127114192667297,-59,-0.2479252022271247
,150,離開Long,Breakout_LX,44121,0.16666666666666666,11875.5,1,,,,,,,,
76,151,進入Long,BreakOut_LE,44123,0.75,11938.25,1,-104,-0.4355747282893221,1824,1.8239999999999998,15,0.06282327811865224,-99,-0.41463363558310473
,152,離開Long,Breakout_LX,44123,0.9166666666666666,11891.25,1,,,,,,,,
77,153,進入Long,BreakOut_LE,44125,0.9583333333333334,11778.5,1,-302,-1.281996858683194,1522,1.522,0,0,-300.5,-1.2756293246168866
,154,離開Long,Breakout_LX,44126,0.3333333333333333,11632.5,1,,,,,,,,
