交易明細,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14
交易編號,委託單編號,類型,訊號,日期,時間,價格,數量,獲利(¤),獲利(%),累積獲利 (¤),累積獲利 (%),最大可能獲利(¤),最大可能獲利 (%),最大可能虧損 (¤),最大可能虧損 (%)
86,171,進入Long,TXF_BreakOut_LE,43812,0.4895833333333333,11973,1,-2250,-0.37584565271861686,24800,2.48,750,0.12528188423953898,-2100,-0.35078927587070907
,172,離開Long,TXF_Breakout_LX,43812,0.9583333333333334,11934,1,,,,,,,,
87,173,進入Long,TXF_BreakOut_LE,43815,0.9583333333333334,11983,1,-1000,-0.16690311274305264,23800,2.3800000000000003,850,0.14186764583159475,-850,-0.14186764583159475
,174,離開Long,TXF_Breakout_LX,43816,0.40625,11969,1,,,,,,,,
88,175,進入Long,TXF_BreakOut_LE,43824,0.5729166666666666,12003,1,400,0.06665000416562525,24200,2.42,1050,0.17495626093476632,-150,-0.024993751562109475
,176,離開Long,TXF_Breakout_LX,43825,0.041666666666666664,12017,1,,,,,,,,
89,177,進入Long,TXF_BreakOut_LE,43825,0.4895833333333333,12014,1,3550,0.590977193274513,27750,2.775,4700,0.7824205094056933,-1050,-0.1747960712502081
,178,離開Long,TXF_Breakout_LX,43826,0.9583333333333334,12091,1,,,,,,,,
90,179,進入Long,TXF_BreakOut_LE,43827,0.125,12086,1,-800,-0.1323845771967566,26950,2.6950000000000003,1800,0.29786529869270234,-650,-0.10756246897236472
,180,離開Long,TXF_Breakout_LX,43829,0.5729166666666666,12076,1,,,,,,,,
91,181,進入Long,TXF_BreakOut_LE,43840,0.6666666666666666,12016,1,6650,1.1068575233022637,33600,3.36,9050,1.5063249001331558,-1050,-0.17476697736351532
,182,離開Long,TXF_Breakout_LX,43844,0.5729166666666666,12155,1,,,,,,,,
92,183,進入Long,TXF_BreakOut_LE,43845,0.125,12192,1,-2000,-0.32808398950131235,31600,3.16,100,0.016404199475065617,-1850,-0.3034776902887139
,184,離開Long,TXF_Breakout_LX,43845,0.40625,12158,1,,,,,,,,
93,185,進入Long,TXF_BreakOut_LE,43846,0,12084,1,-1450,-0.2399867593512082,30150,3.015,0,0,-1300,-0.21516054286660047
,186,離開Long,TXF_Breakout_LX,43846,0.08333333333333333,12061,1,,,,,,,,
94,187,進入Long,TXF_BreakOut_LE,43846,0.8333333333333334,12066,1,-400,-0.06630200563567049,29750,2.9749999999999996,2450,0.40609978451848167,-400,-0.06630200563567049
,188,離開Long,TXF_Breakout_LX,43847,0.40625,12064,1,,,,,,,,
95,189,進入Long,TXF_BreakOut_LE,43850,0.4479166666666667,12149,1,-3450,-0.567947979257552,26300,2.63,400,0.06584904107333936,-3300,-0.5432545888550498
,190,離開Long,TXF_Breakout_LX,43850,0.7083333333333334,12086,1,,,,,,,,
96,191,進入Long,TXF_BreakOut_LE,43865,0.4479166666666667,11471,1,4700,0.8194577630546596,31000,3.1,8250,1.4384099032342428,-150,-0.02615290733153169
,192,離開Long,TXF_Breakout_LX,43866,0.40625,11571,1,,,,,,,,
97,193,進入Long,TXF_BreakOut_LE,43867,0.5729166666666666,11740,1,-2950,-0.5025553662691653,28050,2.8049999999999997,50,0.008517887563884156,-2800,-0.4770017035775128
,194,離開Long,TXF_Breakout_LX,43867,0.9583333333333334,11687,1,,,,,,,,
98,195,進入Long,TXF_BreakOut_LE,43872,0.4479166666666667,11663,1,-700,-0.12003772614250192,27350,2.735,2200,0.3772614250192918,-1050,-0.1800565892137529
,196,離開Long,TXF_Breakout_LX,43873,0.40625,11655,1,,,,,,,,
